sgRNA	Gene	T0_rep1	T0_rep2	T12_rep1	T12_rep2
ARHGEF11_TSS1_+30_g3	ARHGEF11	236	265	259	385
ARHGEF11_TSS1_+149_g4	ARHGEF11	361	349	247	264
ARHGEF11_TSS1_+418_g5	ARHGEF11	243	410	254	376
ARHGEF2_TSS1_-242_g1	ARHGEF2	450	253	245	352
ARHGEF2_TSS1_-64_g2	ARHGEF2	564	459	575	511
ARHGEF2_TSS1_+37_g3	ARHGEF2	277	209	236	358
ARHGEF2_TSS1_+151_g4	ARHGEF2	328	249	270	338
ARHGEF2_TSS1_+424_g5	ARHGEF2	255	298	298	364
ARID1A_TSS1_-256_g1	ARID1A	649	553	733	645
ARID1A_TSS1_-63_g2	ARID1A	502	456	414	390
ARID1A_TSS1_+16_g3	ARID1A	477	422	422	514
ARID1A_TSS1_+165_g4	ARID1A	521	348	477	379
ARID1A_TSS1_+401_g5	ARID1A	348	444	486	558
ARID1B_TSS1_-236_g1	ARID1B	483	497	362	478
ARID1B_TSS1_-93_g2	ARID1B	343	556	464	361
ARID1B_TSS1_+36_g3	ARID1B	510	708	560	427
ARID1B_TSS1_+150_g4	ARID1B	971	874	482	631
ARID1B_TSS1_+425_g5	ARID1B	390	471	389	375
ARID2_TSS1_-265_g1	ARID2	904	957	975	1067
ARID2_TSS1_-82_g2	ARID2	489	559	667	584
ARID2_TSS1_+15_g3	ARID2	806	1080	747	1204
ARID2_TSS1_+168_g4	ARID2	1102	641	977	998
ARID2_TSS1_+401_g5	ARID2	731	708	570	737
ARID3A_TSS1_-241_g1	ARID3A	602	635	681	731
ARID3A_TSS1_-89_g2	ARID3A	532	814	492	713
ARID3A_TSS1_+41_g3	ARID3A	543	556	800	596
ARID3A_TSS1_+136_g4	ARID3A	555	661	541	578
ARID3A_TSS1_+425_g5	ARID3A	660	409	503	561
ARID3B_TSS1_-231_g1	ARID3B	456	355	404	255
ARID3B_TSS1_-65_g2	ARID3B	347	288	269	282
ARID3B_TSS1_+43_g3	ARID3B	237	311	246	400
ARID3B_TSS1_+140_g4	ARID3B	492	412	419	397
ARID3B_TSS1_+420_g5	ARID3B	314	487	431	351
ARID3C_TSS1_-265_g1	ARID3C	492	204	439	433
ARID3C_TSS1_-81_g2	ARID3C	313	317	114	254
ARID3C_TSS1_+34_g3	ARID3C	236	224	220	297
ARID3C_TSS1_+151_g4	ARID3C	320	287	268	211
ARID3C_TSS1_+426_g5	ARID3C	295	217	362	251
ARID4A_TSS1_-258_g1	ARID4A	330	379	522	319
ARID4A_TSS1_-72_g2	ARID4A	338	328	432	469
ARID4A_TSS1_+22_g3	ARID4A	567	368	356	288
ARID4A_TSS1_+167_g4	ARID4A	331	322	305	344
ARID4A_TSS1_+403_g5	ARID4A	363	345	309	299
ARID4B_TSS1_-262_g1	ARID4B	541	730	804	565
ARID4B_TSS1_-72_g2	ARID4B	571	461	690	657
ARID4B_TSS1_+40_g3	ARID4B	460	428	632	381
ARID4B_TSS1_+152_g4	ARID4B	454	538	385	362
ARID4B_TSS1_+439_g5	ARID4B	578	555	300	460
ARID5A_TSS1_-254_g1	ARID5A	578	591	626	476
ARID5A_TSS1_-79_g2	ARID5A	694	911	798	916
ARID5A_TSS1_+45_g3	ARID5A	920	758	811	698
ARID5A_TSS1_+156_g4	ARID5A	784	697	918	848
ARID5A_TSS1_+421_g5	ARID5A	1562	1138	898	1452
ARID5B_TSS1_-244_g1	ARID5B	924	935	1424	1020
ARID5B_TSS1_-79_g2	ARID5B	770	696	967	886
ARID5B_TSS1_+42_g3	ARID5B	628	796	1031	903
ARID5B_TSS1_+155_g4	ARID5B	778	907	849	1015
ARID5B_TSS1_+406_g5	ARID5B	436	1005	1105	905
ARL2_TSS1_-235_g1	ARL2	610	514	568	611
ARL2_TSS1_-71_g2	ARL2	523	478	494	369
ARL2_TSS1_+43_g3	ARL2	871	503	321	316
ARL2_TSS1_+151_g4	ARL2	727	693	277	253
ARL2_TSS1_+425_g5	ARL2	507	609	669	802
ARL2BP_TSS1_-254_g1	ARL2BP	588	561	376	516
ARL2BP_TSS1_-85_g2	ARL2BP	557	730	375	568
ARL2BP_TSS1_+19_g3	ARL2BP	638	628	547	647
ARL2BP_TSS1_+143_g4	ARL2BP	750	810	536	942
ARL2BP_TSS1_+401_g5	ARL2BP	628	492	424	531
ARL3_TSS1_-241_g1	ARL3	406	553	520	427
ARL3_TSS1_-90_g2	ARL3	592	624	661	695
ARL3_TSS1_+43_g3	ARL3	627	875	499	711
ARL3_TSS1_+147_g4	ARL3	424	328	457	400
ARL3_TSS1_+430_g5	ARL3	477	413	502	777
ARL4C_TSS1_-236_g1	ARL4C	362	325	269	302
ARL4C_TSS1_-60_g2	ARL4C	379	164	194	184
ARL4C_TSS1_+6_g3	ARL4C	239	203	197	167
ARL4C_TSS1_+165_g4	ARL4C	218	299	196	209
ARL4C_TSS1_+404_g5	ARL4C	232	218	267	183
ARL4D_TSS1_-259_g1	ARL4D	886	677	612	1071
ARL4D_TSS1_-94_g2	ARL4D	1004	882	654	497
ARL4D_TSS1_+31_g3	ARL4D	479	915	419	947
ARL4D_TSS1_+143_g4	ARL4D	1055	1142	1024	923
ARL4D_TSS1_+429_g5	ARL4D	648	794	859	650
ARL6IP4_TSS1_-245_g1	ARL6IP4	213	242	391	295
ARL6IP4_TSS1_-66_g2	ARL6IP4	356	378	302	259
ARL6IP4_TSS1_+40_g3	ARL6IP4	323	335	424	248
ARL6IP4_TSS1_+152_g4	ARL6IP4	403	278	207	403
ARL6IP4_TSS1_+409_g5	ARL6IP4	326	230	272	257
ARL8A_TSS1_-246_g1	ARL8A	651	432	555	563
ARL8A_TSS1_-95_g2	ARL8A	371	571	339	581
ARL8A_TSS1_+39_g3	ARL8A	449	467	611	603
ARL8A_TSS1_+152_g4	ARL8A	518	336	408	791
ARL8A_TSS1_+410_g5	ARL8A	849	617	662	772
ARL8B_TSS1_-237_g1	ARL8B	304	466	464	409
ARL8B_TSS1_-99_g2	ARL8B	689	689	739	450
ARL8B_TSS1_+6_g3	ARL8B	421	258	501	351
ARL8B_TSS1_+153_g4	ARL8B	801	615	378	420
ARL8B_TSS1_+431_g5	ARL8B	538	538	627	561
ARNT_TSS1_-244_g1	ARNT	987	861	806	627
ARNT_TSS1_-74_g2	ARNT	699	597	663	569
ARNT_TSS1_+15_g3	ARNT	747	591	946	454
ARNT_TSS1_+164_g4	ARNT	797	637	700	931
ARNT_TSS1_+437_g5	ARNT	772	1139	971	1135
ARNT2_TSS1_-251_g1	ARNT2	633	488	599	740
ARNT2_TSS1_-82_g2	ARNT2	445	627	678	715
ARNT2_TSS1_+8_g3	ARNT2	623	743	552	372
ARNT2_TSS1_+152_g4	ARNT2	820	750	795	756
ARNT2_TSS1_+416_g5	ARNT2	1207	939	1363	1075
ARNTL_TSS1_-261_g1	ARNTL	176	139	159	166
ARNTL_TSS1_-62_g2	ARNTL	116	247	214	247
ARNTL_TSS1_+16_g3	ARNTL	162	132	193	176
ARNTL_TSS1_+138_g4	ARNTL	183	239	165	267
ARNTL_TSS1_+401_g5	ARNTL	160	175	178	136
ARNTL2_TSS1_-238_g1	ARNTL2	395	240	467	285
ARNTL2_TSS1_-61_g2	ARNTL2	524	442	442	466
ARNTL2_TSS1_+43_g3	ARNTL2	628	455	476	700
ARNTL2_TSS1_+146_g4	ARNTL2	494	454	543	662
ARNTL2_TSS1_+425_g5	ARNTL2	628	718	551	627
ARRB2_TSS1_-243_g1	ARRB2	1247	799	1055	987
ARRB2_TSS1_-85_g2	ARRB2	820	454	315	245
ARRB2_TSS1_+41_g3	ARRB2	710	485	719	411
ARRB2_TSS1_+158_g4	ARRB2	654	967	592	482
ARRB2_TSS1_+417_g5	ARRB2	815	551	344	464
ARVCF_TSS1_-266_g1	ARVCF	979	990	657	1097
ARVCF_TSS1_-77_g2	ARVCF	481	749	777	454
ARVCF_TSS1_+24_g3	ARVCF	541	716	700	669
ARVCF_TSS1_+132_g4	ARVCF	558	641	612	790
ARVCF_TSS1_+429_g5	ARVCF	881	578	429	710
ARX_TSS1_-239_g1	ARX	635	610	661	593
ARX_TSS1_-67_g2	ARX	1243	1098	1603	733
ARX_TSS1_+38_g3	ARX	632	651	1030	775
ARX_TSS1_+142_g4	ARX	1599	759	895	825
ARX_TSS1_+420_g5	ARX	955	784	597	772
ASB8_TSS1_-241_g1	ASB8	513	795	825	667
ASB8_TSS1_-68_g2	ASB8	783	850	799	709
ASB8_TSS1_+44_g3	ASB8	585	592	554	294
ASB8_TSS1_+151_g4	ASB8	737	1183	656	800
ASB8_TSS1_+418_g5	ASB8	629	625	794	891
ASB9_TSS1_-270_g1	ASB9	275	400	296	226
ASB9_TSS1_-81_g2	ASB9	192	195	204	216
ASB9_TSS1_+10_g3	ASB9	302	334	248	182
ASB9_TSS1_+168_g4	ASB9	259	251	271	228
ASB9_TSS1_+416_g5	ASB9	231	289	179	214
ASCC1_TSS1_-262_g1	ASCC1	287	374	336	249
ASCC1_TSS1_-86_g2	ASCC1	378	316	506	572
ASCC1_TSS1_+40_g3	ASCC1	211	444	671	470
ASCC1_TSS1_+150_g4	ASCC1	313	207	393	281
ASCC1_TSS1_+414_g5	ASCC1	471	401	613	519
ASCC3_TSS1_-249_g1	ASCC3	542	764	685	939
ASCC3_TSS1_-86_g2	ASCC3	573	708	406	448
ASCC3_TSS1_+11_g3	ASCC3	755	1058	624	774
ASCC3_TSS1_+160_g4	ASCC3	557	938	687	395
ASCC3_TSS1_+420_g5	ASCC3	888	621	872	420
ASCL1_TSS1_-239_g1	ASCL1	370	295	241	366
ASCL1_TSS1_-91_g2	ASCL1	299	366	277	347
ASCL1_TSS1_+28_g3	ASCL1	652	297	280	452
ASCL1_TSS1_+162_g4	ASCL1	500	281	463	291
ASCL1_TSS1_+440_g5	ASCL1	406	416	324	1046
ASCL2_TSS1_-265_g1	ASCL2	491	516	539	710
ASCL2_TSS1_-87_g2	ASCL2	795	843	1160	897
ASCL2_TSS1_+24_g3	ASCL2	557	801	529	651
ASCL2_TSS1_+166_g4	ASCL2	676	636	271	588
ASCL2_TSS1_+435_g5	ASCL2	656	495	553	655
ASCL3_TSS1_-239_g1	ASCL3	499	374	263	284
ASCL3_TSS1_-85_g2	ASCL3	470	279	338	438
ASCL3_TSS1_+12_g3	ASCL3	339	280	297	290
ASCL3_TSS1_+155_g4	ASCL3	235	249	278	195
ASCL3_TSS1_+440_g5	ASCL3	279	269	146	335
ASF1A_TSS1_-243_g1	ASF1A	235	213	205	199
ASF1A_TSS1_-93_g2	ASF1A	173	148	391	166
ASF1A_TSS1_+26_g3	ASF1A	308	341	396	292
ASF1A_TSS1_+138_g4	ASF1A	199	202	148	295
ASF1A_TSS1_+435_g5	ASF1A	207	150	266	256
ASF1B_TSS1_-237_g1	ASF1B	935	1371	922	833
ASF1B_TSS1_-73_g2	ASF1B	575	1022	845	898
ASF1B_TSS1_+26_g3	ASF1B	809	741	853	859
ASF1B_TSS1_+168_g4	ASF1B	946	801	844	561
ASF1B_TSS1_+425_g5	ASF1B	643	424	605	502
ASH1L_TSS1_-250_g1	ASH1L	293	248	222	288
ASH1L_TSS1_-80_g2	ASH1L	358	259	320	262
ASH1L_TSS1_+30_g3	ASH1L	226	253	339	270
ASH1L_TSS1_+150_g4	ASH1L	319	300	135	220
ASH1L_TSS1_+423_g5	ASH1L	276	240	311	260
ASH2L_TSS1_-264_g1	ASH2L	645	748	702	756
ASH2L_TSS1_-100_g2	ASH2L	402	431	445	494
ASH2L_TSS1_+34_g3	ASH2L	679	947	392	457
ASH2L_TSS1_+130_g4	ASH2L	443	495	247	240
ASH2L_TSS1_+416_g5	ASH2L	467	720	428	461
ASNA1_TSS1_-268_g1	ASNA1	548	1040	943	471
ASNA1_TSS1_-88_g2	ASNA1	829	567	692	778
ASNA1_TSS1_+37_g3	ASNA1	587	432	256	359
ASNA1_TSS1_+144_g4	ASNA1	955	619	898	457
ASNA1_TSS1_+436_g5	ASNA1	944	871	776	981
ASPA_TSS1_-265_g1	ASPA	723	807	1406	889
ASPA_TSS1_-97_g2	ASPA	639	655	1139	561
ASPA_TSS1_+22_g3	ASPA	538	569	634	752
ASPA_TSS1_+166_g4	ASPA	770	958	900	705
ASPA_TSS1_+419_g5	ASPA	741	992	401	676
ASPM_TSS1_-269_g1	ASPM	443	584	374	247
ASPM_TSS1_-69_g2	ASPM	277	613	376	278
ASPM_TSS1_+31_g3	ASPM	455	399	250	268
ASPM_TSS1_+151_g4	ASPM	500	688	307	378
ASPM_TSS1_+401_g5	ASPM	637	861	545	664
ASRGL1_TSS1_-234_g1	ASRGL1	381	293	317	155
ASRGL1_TSS1_-96_g2	ASRGL1	324	378	339	356
ASRGL1_TSS1_+45_g3	ASRGL1	298	371	462	420
ASRGL1_TSS1_+163_g4	ASRGL1	499	338	457	535
ASRGL1_TSS1_+414_g5	ASRGL1	206	301	369	167
ASUN_TSS1_-248_g1	ASUN	238	276	232	181
ASUN_TSS1_-76_g2	ASUN	297	115	276	153
ASUN_TSS1_+7_g3	ASUN	244	260	148	177
ASUN_TSS1_+158_g4	ASUN	286	226	124	200
ASUN_TSS1_+437_g5	ASUN	202	193	177	200
ASXL1_TSS1_-265_g1	ASXL1	226	157	196	282
ASXL1_TSS1_-66_g2	ASXL1	275	213	221	136
ASXL1_TSS1_+5_g3	ASXL1	240	224	249	279
ASXL1_TSS1_+159_g4	ASXL1	217	201	368	125
ASXL1_TSS1_+420_g5	ASXL1	190	193	285	268
ASXL2_TSS1_-251_g1	ASXL2	177	357	170	375
ASXL2_TSS1_-60_g2	ASXL2	164	170	83	140
ASXL2_TSS1_+11_g3	ASXL2	123	224	216	163
ASXL2_TSS1_+155_g4	ASXL2	151	281	230	147
ASXL2_TSS1_+423_g5	ASXL2	178	241	149	145
ASXL3_TSS1_-268_g1	ASXL3	772	733	814	779
ASXL3_TSS1_-68_g2	ASXL3	775	527	694	639
ASXL3_TSS1_+16_g3	ASXL3	491	652	708	555
ASXL3_TSS1_+138_g4	ASXL3	728	601	521	561
ASXL3_TSS1_+433_g5	ASXL3	480	686	690	607
ASZ1_TSS1_-247_g1	ASZ1	680	618	608	484
ASZ1_TSS1_-68_g2	ASZ1	682	765	667	469
ASZ1_TSS1_+37_g3	ASZ1	805	791	660	822
ASZ1_TSS1_+155_g4	ASZ1	556	799	920	793
ASZ1_TSS1_+420_g5	ASZ1	789	629	455	400
ATAD2_TSS1_-239_g1	ATAD2	400	449	739	487
ATAD2_TSS1_-73_g2	ATAD2	406	618	797	625
ATAD2_TSS1_+25_g3	ATAD2	452	603	463	645
ATAD2_TSS1_+161_g4	ATAD2	511	519	692	658
ATAD2_TSS1_+404_g5	ATAD2	398	700	691	479
ATAD5_TSS1_-248_g1	ATAD5	518	437	324	296
ATAD5_TSS1_-90_g2	ATAD5	454	365	257	330
ATAD5_TSS1_+25_g3	ATAD5	300	199	224	257
ATAD5_TSS1_+165_g4	ATAD5	260	269	277	241
ATAD5_TSS1_+409_g5	ATAD5	246	214	299	349
ATE1_TSS1_-269_g1	ATE1	469	619	1131	905
ATE1_TSS1_-75_g2	ATE1	778	714	564	694
ATE1_TSS1_+21_g3	ATE1	949	718	996	813
ATE1_TSS1_+159_g4	ATE1	448	829	853	599
ATE1_TSS1_+438_g5	ATE1	597	577	521	1096
ATF1_TSS1_-239_g1	ATF1	283	399	369	257
ATF1_TSS1_-69_g2	ATF1	129	187	183	230
ATF1_TSS1_+39_g3	ATF1	133	280	183	223
ATF1_TSS1_+160_g4	ATF1	279	170	268	235
ATF1_TSS1_+408_g5	ATF1	269	246	215	323
ATF2_TSS1_-247_g1	ATF2	747	603	719	652
ATF2_TSS1_-80_g2	ATF2	578	1097	901	835
ATF2_TSS1_+32_g3	ATF2	609	858	1073	972
ATF2_TSS1_+147_g4	ATF2	505	489	610	363
ATF2_TSS1_+427_g5	ATF2	821	624	946	738
ATF3_TSS1_-254_g1	ATF3	207	182	202	167
ATF3_TSS1_-90_g2	ATF3	171	266	231	141
ATF3_TSS1_+24_g3	ATF3	133	120	130	215
ATF3_TSS1_+144_g4	ATF3	121	204	101	147
ATF3_TSS1_+419_g5	ATF3	212	131	113	161
ATF4_TSS1_-255_g1	ATF4	458	505	563	567
ATF4_TSS1_-99_g2	ATF4	297	471	356	514
ATF4_TSS1_+25_g3	ATF4	263	524	325	291
ATF4_TSS1_+154_g4	ATF4	612	525	291	413
ATF4_TSS1_+402_g5	ATF4	313	491	567	482
ATF5_TSS1_-263_g1	ATF5	665	513	455	602
ATF5_TSS1_-64_g2	ATF5	347	310	574	504
ATF5_TSS1_+9_g3	ATF5	612	506	747	815
ATF5_TSS1_+150_g4	ATF5	506	587	626	769
ATF5_TSS1_+423_g5	ATF5	721	770	903	770
ATF6_TSS1_-249_g1	ATF6	513	341	406	290
ATF6_TSS1_-62_g2	ATF6	296	276	435	448
ATF6_TSS1_+32_g3	ATF6	505	638	470	664
ATF6_TSS1_+166_g4	ATF6	568	381	573	588
ATF6_TSS1_+421_g5	ATF6	461	488	450	565
ATF6B_TSS1_-260_g1	ATF6B	283	308	242	265
ATF6B_TSS1_-88_g2	ATF6B	216	220	298	252
ATF6B_TSS1_+9_g3	ATF6B	206	151	146	168
ATF6B_TSS1_+163_g4	ATF6B	310	342	203	287
ATF6B_TSS1_+401_g5	ATF6B	427	358	392	302
ATF7_TSS1_-264_g1	ATF7	538	500	786	676
ATF7_TSS1_-67_g2	ATF7	313	383	448	337
ATF7_TSS1_+11_g3	ATF7	350	354	290	258
ATF7_TSS1_+130_g4	ATF7	357	383	297	455
ATF7_TSS1_+424_g5	ATF7	547	476	399	295
ATF7IP_TSS1_-250_g1	ATF7IP	295	276	342	232
ATF7IP_TSS1_-98_g2	ATF7IP	179	359	281	277
ATF7IP_TSS1_+20_g3	ATF7IP	271	275	463	264
ATF7IP_TSS1_+166_g4	ATF7IP	412	268	271	268
ATF7IP_TSS1_+406_g5	ATF7IP	506	242	380	282
ATF7IP2_TSS1_-251_g1	ATF7IP2	468	380	334	412
ATF7IP2_TSS1_-76_g2	ATF7IP2	312	496	469	716
ATF7IP2_TSS1_+42_g3	ATF7IP2	403	224	320	535
ATF7IP2_TSS1_+139_g4	ATF7IP2	380	445	404	504
ATF7IP2_TSS1_+414_g5	ATF7IP2	540	398	454	327
ATM_TSS1_-255_g1	ATM	132	113	112	163
ATM_TSS1_-92_g2	ATM	178	138	104	108
ATM_TSS1_+13_g3	ATM	167	122	106	157
ATM_TSS1_+139_g4	ATM	203	189	143	160
ATM_TSS1_+437_g5	ATM	205	187	109	247
ATMIN_TSS1_-253_g1	ATMIN	416	247	357	324
ATMIN_TSS1_-88_g2	ATMIN	410	418	303	321
ATMIN_TSS1_+14_g3	ATMIN	278	292	263	233
ATMIN_TSS1_+131_g4	ATMIN	343	305	161	196
ATMIN_TSS1_+428_g5	ATMIN	253	382	232	283
ATN1_TSS1_-270_g1	ATN1	456	400	642	217
ATN1_TSS1_-76_g2	ATN1	575	352	294	711
ATN1_TSS1_+43_g3	ATN1	495	399	845	513
ATN1_TSS1_+159_g4	ATN1	416	429	315	410
ATN1_TSS1_+400_g5	ATN1	430	555	441	497
ATOH8_TSS1_-270_g1	ATOH8	585	502	741	845
ATOH8_TSS1_-92_g2	ATOH8	955	1211	864	1059
ATOH8_TSS1_+37_g3	ATOH8	725	393	638	716
ATOH8_TSS1_+153_g4	ATOH8	725	702	516	888
ATOH8_TSS1_+409_g5	ATOH8	717	955	932	463
ATP1A3_TSS1_-242_g1	ATP1A3	389	309	336	431
ATP1A3_TSS1_-63_g2	ATP1A3	214	224	321	305
ATP1A3_TSS1_+29_g3	ATP1A3	302	282	288	285
ATP1A3_TSS1_+157_g4	ATP1A3	244	352	288	160
ATP1A3_TSS1_+425_g5	ATP1A3	391	382	261	456
ATP1B4_TSS1_-266_g1	ATP1B4	509	535	315	354
ATP1B4_TSS1_-91_g2	ATP1B4	328	338	420	372
ATP1B4_TSS1_+14_g3	ATP1B4	451	217	205	339
ATP1B4_TSS1_+133_g4	ATP1B4	270	430	580	423
ATP1B4_TSS1_+424_g5	ATP1B4	253	445	233	269
ATP2A3_TSS1_-246_g1	ATP2A3	524	762	631	567
ATP2A3_TSS1_-87_g2	ATP2A3	573	641	582	471
ATP2A3_TSS1_+35_g3	ATP2A3	760	673	468	628
ATP2A3_TSS1_+150_g4	ATP2A3	465	442	511	483
ATP2A3_TSS1_+409_g5	ATP2A3	629	802	557	512
ATP5A1_TSS1_-261_g1	ATP5A1	632	868	511	532
ATP5A1_TSS1_-77_g2	ATP5A1	831	812	538	750
ATP5A1_TSS1_+18_g3	ATP5A1	842	501	712	682
ATP5A1_TSS1_+165_g4	ATP5A1	1211	1065	615	519
ATP5A1_TSS1_+435_g5	ATP5A1	759	819	506	640
ATP6V0A1_TSS1_-242_g1	ATP6V0A1	290	166	286	181
ATP6V0A1_TSS1_-63_g2	ATP6V0A1	193	184	240	195
ATP6V0A1_TSS1_+11_g3	ATP6V0A1	319	200	281	262
ATP6V0A1_TSS1_+154_g4	ATP6V0A1	161	174	156	181
ATP6V0A1_TSS1_+410_g5	ATP6V0A1	298	313	172	172
ATPAF2_TSS1_-240_g1	ATPAF2	675	808	610	548
ATPAF2_TSS1_-74_g2	ATPAF2	721	627	610	331
ATPAF2_TSS1_+41_g3	ATPAF2	679	914	338	309
ATPAF2_TSS1_+147_g4	ATPAF2	959	1339	528	584
ATPAF2_TSS1_+425_g5	ATPAF2	679	793	957	773
ATR_TSS1_-264_g1	ATR	592	1188	745	899
ATR_TSS1_-66_g2	ATR	955	733	903	982
ATR_TSS1_+31_g3	ATR	833	784	689	497
ATR_TSS1_+152_g4	ATR	958	627	483	1091
ATR_TSS1_+438_g5	ATR	616	797	1601	590
ATRAID_TSS1_-235_g1	ATRAID	207	214	167	142
ATRAID_TSS1_-96_g2	ATRAID	90	143	224	233
ATRAID_TSS1_+13_g3	ATRAID	154	194	154	179
ATRAID_TSS1_+154_g4	ATRAID	150	139	144	125
ATRAID_TSS1_+417_g5	ATRAID	57	138	89	120
ATRIP_TSS1_-240_g1	ATRIP	578	334	362	506
ATRIP_TSS1_-96_g2	ATRIP	619	615	363	423
ATRIP_TSS1_+19_g3	ATRIP	603	542	249	435
ATRIP_TSS1_+135_g4	ATRIP	392	527	273	229
ATRIP_TSS1_+431_g5	ATRIP	602	607	536	399
ATRX_TSS1_-249_g1	ATRX	383	294	333	239
ATRX_TSS1_-61_g2	ATRX	290	308	361	353
ATRX_TSS1_+11_g3	ATRX	413	280	381	349
ATRX_TSS1_+155_g4	ATRX	364	448	228	271
ATRX_TSS1_+422_g5	ATRX	343	375	299	300
ATXN1_TSS1_-248_g1	ATXN1	107	158	66	127
ATXN1_TSS1_-76_g2	ATXN1	127	93	117	107
ATXN1_TSS1_+39_g3	ATXN1	134	224	226	205
ATXN1_TSS1_+152_g4	ATXN1	197	191	183	199
ATXN1_TSS1_+425_g5	ATXN1	156	225	143	183
ATXN1L_TSS1_-254_g1	ATXN1L	717	858	454	753
ATXN1L_TSS1_-82_g2	ATXN1L	572	743	822	690
ATXN1L_TSS1_+14_g3	ATXN1L	614	732	657	809
ATXN1L_TSS1_+167_g4	ATXN1L	604	717	738	619
ATXN1L_TSS1_+421_g5	ATXN1L	1097	1116	1101	806
ATXN2_TSS1_-248_g1	ATXN2	296	257	279	358
ATXN2_TSS1_-92_g2	ATXN2	273	250	378	417
ATXN2_TSS1_+26_g3	ATXN2	263	364	508	279
ATXN2_TSS1_+166_g4	ATXN2	387	271	248	330
ATXN2_TSS1_+430_g5	ATXN2	250	395	233	289
ATXN2L_TSS1_-241_g1	ATXN2L	1041	1006	643	988
ATXN2L_TSS1_-89_g2	ATXN2L	657	1259	915	1448
ATXN2L_TSS1_+17_g3	ATXN2L	755	509	497	670
ATXN2L_TSS1_+159_g4	ATXN2L	831	560	519	478
ATXN2L_TSS1_+411_g5	ATXN2L	538	413	549	494
ATXN3_TSS1_-268_g1	ATXN3	407	587	688	571
ATXN3_TSS1_-85_g2	ATXN3	553	477	259	347
ATXN3_TSS1_+7_g3	ATXN3	424	358	405	399
ATXN3_TSS1_+169_g4	ATXN3	418	532	447	457
ATXN3_TSS1_+433_g5	ATXN3	343	239	464	389
ATXN7_TSS1_-261_g1	ATXN7	568	824	663	248
ATXN7_TSS1_-80_g2	ATXN7	372	384	432	413
ATXN7_TSS1_+10_g3	ATXN7	368	467	283	321
ATXN7_TSS1_+144_g4	ATXN7	448	426	335	540
ATXN7_TSS1_+428_g5	ATXN7	186	269	288	279
ATXN7L3_TSS1_-250_g1	ATXN7L3	964	896	845	678
ATXN7L3_TSS1_-65_g2	ATXN7L3	1090	1345	445	451
ATXN7L3_TSS1_+23_g3	ATXN7L3	601	475	485	677
ATXN7L3_TSS1_+160_g4	ATXN7L3	441	527	643	802
ATXN7L3_TSS1_+405_g5	ATXN7L3	755	629	874	850
AUNIP_TSS1_-243_g1	AUNIP	563	737	517	1240
AUNIP_TSS1_-66_g2	AUNIP	706	1199	1083	1150
AUNIP_TSS1_+38_g3	AUNIP	636	616	769	702
AUNIP_TSS1_+140_g4	AUNIP	921	1084	1604	754
AUNIP_TSS1_+432_g5	AUNIP	845	972	737	742
AUP1_TSS1_-258_g1	AUP1	862	889	1137	701
AUP1_TSS1_-87_g2	AUP1	575	483	734	475
AUP1_TSS1_+10_g3	AUP1	557	595	510	1148
AUP1_TSS1_+160_g4	AUP1	1631	823	1648	1703
AUP1_TSS1_+423_g5	AUP1	744	713	807	467
AURKA_TSS1_-265_g1	AURKA	481	431	343	203
AURKA_TSS1_-94_g2	AURKA	369	374	339	315
AURKA_TSS1_+29_g3	AURKA	413	244	321	333
AURKA_TSS1_+170_g4	AURKA	418	355	474	318
AURKA_TSS1_+425_g5	AURKA	432	275	282	426
AURKAIP1_TSS1_-251_g1	AURKAIP1	244	444	259	313
AURKAIP1_TSS1_-69_g2	AURKAIP1	487	444	569	411
AURKAIP1_TSS1_+10_g3	AURKAIP1	340	487	254	366
AURKAIP1_TSS1_+133_g4	AURKAIP1	494	568	235	455
AURKAIP1_TSS1_+435_g5	AURKAIP1	339	379	317	516
AURKB_TSS1_-242_g1	AURKB	357	299	286	388
AURKB_TSS1_-67_g2	AURKB	372	375	400	449
AURKB_TSS1_+6_g3	AURKB	493	424	236	305
AURKB_TSS1_+170_g4	AURKB	334	550	360	243
AURKB_TSS1_+401_g5	AURKB	699	395	488	576
AURKC_TSS1_-247_g1	AURKC	175	196	85	120
AURKC_TSS1_-96_g2	AURKC	150	204	190	130
AURKC_TSS1_+19_g3	AURKC	175	216	258	222
AURKC_TSS1_+146_g4	AURKC	187	235	200	110
AURKC_TSS1_+403_g5	AURKC	229	265	195	264
AVPI1_TSS1_-246_g1	AVPI1	942	1270	873	1463
AVPI1_TSS1_-91_g2	AVPI1	970	866	872	1128
AVPI1_TSS1_+45_g3	AVPI1	654	821	749	575
AVPI1_TSS1_+142_g4	AVPI1	628	1072	641	552
AVPI1_TSS1_+401_g5	AVPI1	653	1006	964	1044
AXIN1_TSS1_-231_g1	AXIN1	85	213	218	184
AXIN1_TSS1_-97_g2	AXIN1	218	239	253	384
AXIN1_TSS1_+27_g3	AXIN1	289	240	187	336
AXIN1_TSS1_+160_g4	AXIN1	212	341	191	261
AXIN1_TSS1_+404_g5	AXIN1	310	197	203	241
AXIN2_TSS1_-251_g1	AXIN2	1028	578	742	1042
AXIN2_TSS1_-93_g2	AXIN2	637	551	372	700
AXIN2_TSS1_+40_g3	AXIN2	723	788	699	874
AXIN2_TSS1_+132_g4	AXIN2	676	1192	942	602
AXIN2_TSS1_+415_g5	AXIN2	1016	749	983	831
AXL_TSS1_-232_g1	AXL	509	344	463	402
