sgRNA	Gene	DMSO_rep1	DMSO_rep2	Drug_rep1	Drug_rep2
AQR_TSS1_+192_g5	AQR	697	788	678	758
AR_TSS1_-371_g1	AR	587	789	2922	4044
AR_TSS1_-236_g2	AR	822	682	2196	1649
AR_TSS1_-137_g3	AR	695	835	2577	2024
AR_TSS1_+62_g4	AR	458	1169	1309	1172
AR_TSS1_+180_g5	AR	443	693	846	798
ARAF_TSS1_-340_g1	ARAF	316	151	968	1192
ARAF_TSS1_-236_g2	ARAF	237	279	841	1129
ARAF_TSS1_-108_g3	ARAF	214	223	557	867
ARAF_TSS1_+59_g4	ARAF	250	328	349	359
ARAF_TSS1_+165_g5	ARAF	199	205	283	197
ARAP1_TSS1_-332_g1	ARAP1	136	144	211	172
ARAP1_TSS1_-235_g2	ARAP1	128	195	127	213
ARAP1_TSS1_-96_g3	ARAP1	222	254	200	176
ARAP1_TSS1_+44_g4	ARAP1	142	244	279	271
ARAP1_TSS1_+179_g5	ARAP1	242	148	126	123
ARFGAP1_TSS1_-346_g1	ARFGAP1	485	413	381	321
ARFGAP1_TSS1_-241_g2	ARFGAP1	525	595	568	532
ARFGAP1_TSS1_-130_g3	ARFGAP1	740	515	412	618
ARFGAP1_TSS1_+24_g4	ARFGAP1	449	529	452	305
ARFGAP1_TSS1_+201_g5	ARFGAP1	764	522	657	657
ARFGAP2_TSS1_-354_g1	ARFGAP2	330	279	396	241
ARFGAP2_TSS1_-205_g2	ARFGAP2	320	231	254	213
ARFGAP2_TSS1_-128_g3	ARFGAP2	401	250	174	300
ARFGAP2_TSS1_+16_g4	ARFGAP2	221	259	245	174
ARFGAP2_TSS1_+168_g5	ARFGAP2	289	235	203	294
ARFGEF1_TSS1_-331_g1	ARFGEF1	676	791	999	458
ARFGEF1_TSS1_-225_g2	ARFGEF1	882	377	615	718
ARFGEF1_TSS1_-101_g3	ARFGEF1	999	866	749	513
ARFGEF1_TSS1_+44_g4	ARFGEF1	822	1164	774	669
ARFGEF1_TSS1_+183_g5	ARFGEF1	373	442	379	617
ARGFX_TSS1_-354_g1	ARGFX	761	428	426	560
ARGFX_TSS1_-241_g2	ARGFX	577	778	962	684
ARGFX_TSS1_-104_g3	ARGFX	568	722	600	556
ARGFX_TSS1_+35_g4	ARGFX	1186	818	572	1008
ARGFX_TSS1_+169_g5	ARGFX	623	476	398	304
ARGLU1_TSS1_-352_g1	ARGLU1	473	360	346	586
ARGLU1_TSS1_-238_g2	ARGLU1	412	405	399	315
ARGLU1_TSS1_-105_g3	ARGLU1	318	266	278	268
ARGLU1_TSS1_+48_g4	ARGLU1	394	357	303	408
ARGLU1_TSS1_+204_g5	ARGLU1	243	204	337	277
ARHGAP19_TSS1_-337_g1	ARHGAP19	759	591	803	995
ARHGAP19_TSS1_-219_g2	ARHGAP19	1175	937	1234	797
ARHGAP19_TSS1_-113_g3	ARHGAP19	1107	942	1151	1298
ARHGAP19_TSS1_+30_g4	ARHGAP19	609	919	732	1066
ARHGAP19_TSS1_+205_g5	ARHGAP19	1174	1267	963	1439
ARHGAP22_TSS1_-349_g1	ARHGAP22	297	287	257	239
ARHGAP22_TSS1_-221_g2	ARHGAP22	330	244	193	246
ARHGAP22_TSS1_-130_g3	ARHGAP22	252	462	525	222
ARHGAP22_TSS1_+53_g4	ARHGAP22	228	190	216	343
ARHGAP22_TSS1_+178_g5	ARHGAP22	390	510	522	334
ARHGAP35_TSS1_-350_g1	ARHGAP35	556	461	847	658
ARHGAP35_TSS1_-235_g2	ARHGAP35	743	860	752	654
ARHGAP35_TSS1_-112_g3	ARHGAP35	730	726	1127	655
ARHGAP35_TSS1_+23_g4	ARHGAP35	545	520	564	521
ARHGAP35_TSS1_+196_g5	ARHGAP35	504	862	758	931
ARHGAP39_TSS1_-375_g1	ARHGAP39	544	413	541	469
ARHGAP39_TSS1_-227_g2	ARHGAP39	544	693	668	480
ARHGAP39_TSS1_-105_g3	ARHGAP39	596	716	887	405
ARHGAP39_TSS1_+44_g4	ARHGAP39	463	614	487	728
ARHGAP39_TSS1_+190_g5	ARHGAP39	663	726	649	926
ARHGAP4_TSS1_-326_g1	ARHGAP4	757	1133	1182	843
ARHGAP4_TSS1_-241_g2	ARHGAP4	850	551	1398	765
ARHGAP4_TSS1_-136_g3	ARHGAP4	836	615	995	810
ARHGAP4_TSS1_+15_g4	ARHGAP4	698	1049	812	1546
ARHGAP4_TSS1_+187_g5	ARHGAP4	562	819	1119	639
ARHGEF10_TSS1_-340_g1	ARHGEF10	251	131	145	247
ARHGEF10_TSS1_-236_g2	ARHGEF10	199	242	178	224
ARHGEF10_TSS1_-126_g3	ARHGEF10	123	195	208	252
ARHGEF10_TSS1_+45_g4	ARHGEF10	151	149	156	192
ARHGEF10_TSS1_+200_g5	ARHGEF10	307	163	261	251
ARHGEF11_TSS1_-364_g1	ARHGEF11	705	583	395	460
ARHGEF11_TSS1_-244_g2	ARHGEF11	599	455	975	547
ARHGEF11_TSS1_-119_g3	ARHGEF11	1448	1025	1014	900
ARHGEF11_TSS1_+57_g4	ARHGEF11	984	603	541	526
ARHGEF11_TSS1_+177_g5	ARHGEF11	804	710	1068	907
ARHGEF2_TSS1_-365_g1	ARHGEF2	1067	1019	810	869
ARHGEF2_TSS1_-204_g2	ARHGEF2	698	938	586	524
ARHGEF2_TSS1_-143_g3	ARHGEF2	773	604	937	728
ARHGEF2_TSS1_+41_g4	ARHGEF2	1034	428	652	770
ARHGEF2_TSS1_+156_g5	ARHGEF2	750	738	761	646
ARID1A_TSS1_-359_g1	ARID1A	317	478	340	379
ARID1A_TSS1_-198_g2	ARID1A	503	354	665	274
ARID1A_TSS1_-125_g3	ARID1A	434	352	431	419
ARID1A_TSS1_+48_g4	ARID1A	560	471	527	545
ARID1A_TSS1_+198_g5	ARID1A	552	513	550	326
ARID1B_TSS1_-349_g1	ARID1B	912	706	849	898
ARID1B_TSS1_-197_g2	ARID1B	529	412	519	410
ARID1B_TSS1_-133_g3	ARID1B	704	334	675	515
ARID1B_TSS1_+61_g4	ARID1B	766	954	691	739
ARID1B_TSS1_+192_g5	ARID1B	602	573	799	491
ARID2_TSS1_-369_g1	ARID2	470	650	516	512
ARID2_TSS1_-228_g2	ARID2	977	787	1287	1052
ARID2_TSS1_-99_g3	ARID2	508	677	506	591
ARID2_TSS1_+32_g4	ARID2	710	1119	784	777
ARID2_TSS1_+191_g5	ARID2	855	507	664	515
ARID3A_TSS1_-338_g1	ARID3A	141	453	420	409
ARID3A_TSS1_-242_g2	ARID3A	225	229	537	963
ARID3A_TSS1_-126_g3	ARID3A	219	410	964	620
ARID3A_TSS1_+57_g4	ARID3A	265	409	312	276
ARID3A_TSS1_+196_g5	ARID3A	376	213	239	268
ARID3B_TSS1_-334_g1	ARID3B	427	409	379	284
ARID3B_TSS1_-240_g2	ARID3B	785	518	711	813
ARID3B_TSS1_-121_g3	ARID3B	576	453	350	444
ARID3B_TSS1_+59_g4	ARID3B	322	539	599	722
ARID3B_TSS1_+185_g5	ARID3B	1037	717	671	844
ARID3C_TSS1_-364_g1	ARID3C	839	1005	1092	894
ARID3C_TSS1_-234_g2	ARID3C	665	518	792	748
ARID3C_TSS1_-108_g3	ARID3C	568	403	554	434
ARID3C_TSS1_+41_g4	ARID3C	747	410	724	393
ARID3C_TSS1_+192_g5	ARID3C	896	744	705	691
ARID4A_TSS1_-332_g1	ARID4A	536	522	477	720
ARID4A_TSS1_-215_g2	ARID4A	342	518	394	741
ARID4A_TSS1_-99_g3	ARID4A	673	596	807	943
ARID4A_TSS1_+64_g4	ARID4A	444	497	310	528
ARID4A_TSS1_+156_g5	ARID4A	473	511	464	694
ARID4B_TSS1_-334_g1	ARID4B	481	824	631	637
ARID4B_TSS1_-226_g2	ARID4B	759	757	892	584
ARID4B_TSS1_-120_g3	ARID4B	949	608	605	437
ARID4B_TSS1_+36_g4	ARID4B	615	1050	783	527
ARID4B_TSS1_+174_g5	ARID4B	521	843	655	504
ARID5A_TSS1_-369_g1	ARID5A	651	914	422	825
ARID5A_TSS1_-243_g2	ARID5A	1254	981	1456	1533
ARID5A_TSS1_-110_g3	ARID5A	614	558	592	581
ARID5A_TSS1_+64_g4	ARID5A	407	436	354	664
ARID5A_TSS1_+159_g5	ARID5A	662	776	688	694
ARID5B_TSS1_-339_g1	ARID5B	459	257	173	276
ARID5B_TSS1_-196_g2	ARID5B	233	267	265	475
ARID5B_TSS1_-141_g3	ARID5B	322	319	295	374
ARID5B_TSS1_+61_g4	ARID5B	336	463	432	458
ARID5B_TSS1_+192_g5	ARID5B	246	201	222	273
ARL2_TSS1_-337_g1	ARL2	236	171	246	210
ARL2_TSS1_-228_g2	ARL2	108	160	153	125
ARL2_TSS1_-134_g3	ARL2	159	222	134	108
ARL2_TSS1_+38_g4	ARL2	238	191	248	216
ARL2_TSS1_+192_g5	ARL2	226	128	133	264
ARL2BP_TSS1_-354_g1	ARL2BP	443	178	391	255
ARL2BP_TSS1_-206_g2	ARL2BP	381	304	390	380
ARL2BP_TSS1_-117_g3	ARL2BP	382	479	438	317
ARL2BP_TSS1_+34_g4	ARL2BP	443	307	479	423
ARL2BP_TSS1_+187_g5	ARL2BP	454	175	440	453
ARL3_TSS1_-337_g1	ARL3	492	806	437	796
ARL3_TSS1_-237_g2	ARL3	431	379	467	528
ARL3_TSS1_-101_g3	ARL3	462	227	610	471
ARL3_TSS1_+48_g4	ARL3	334	382	629	626
ARL3_TSS1_+198_g5	ARL3	481	729	580	525
ARL4C_TSS1_-329_g1	ARL4C	441	651	616	671
ARL4C_TSS1_-199_g2	ARL4C	759	871	890	488
ARL4C_TSS1_-141_g3	ARL4C	527	529	651	425
ARL4C_TSS1_+32_g4	ARL4C	600	830	560	571
ARL4C_TSS1_+183_g5	ARL4C	639	393	977	1271
ARL4D_TSS1_-349_g1	ARL4D	117	109	188	240
ARL4D_TSS1_-225_g2	ARL4D	235	238	219	258
ARL4D_TSS1_-109_g3	ARL4D	157	125	224	362
ARL4D_TSS1_+58_g4	ARL4D	187	221	256	208
ARL4D_TSS1_+200_g5	ARL4D	145	168	175	243
ARL6IP4_TSS1_-335_g1	ARL6IP4	1127	676	949	643
ARL6IP4_TSS1_-241_g2	ARL6IP4	607	532	584	408
ARL6IP4_TSS1_-143_g3	ARL6IP4	731	573	717	682
ARL6IP4_TSS1_+59_g4	ARL6IP4	670	1080	731	944
ARL6IP4_TSS1_+193_g5	ARL6IP4	506	533	339	651
ARL8A_TSS1_-372_g1	ARL8A	308	385	316	330
ARL8A_TSS1_-214_g2	ARL8A	313	563	357	718
ARL8A_TSS1_-105_g3	ARL8A	681	548	781	464
ARL8A_TSS1_+20_g4	ARL8A	410	420	330	350
ARL8A_TSS1_+198_g5	ARL8A	381	467	441	390
ARL8B_TSS1_-329_g1	ARL8B	344	321	544	243
ARL8B_TSS1_-231_g2	ARL8B	564	578	526	438
ARL8B_TSS1_-122_g3	ARL8B	432	275	315	239
ARL8B_TSS1_+30_g4	ARL8B	379	392	308	370
ARL8B_TSS1_+155_g5	ARL8B	353	362	239	467
ARNT_TSS1_-361_g1	ARNT	283	369	432	314
ARNT_TSS1_-221_g2	ARNT	376	330	308	248
ARNT_TSS1_-121_g3	ARNT	418	478	449	444
ARNT_TSS1_+56_g4	ARNT	283	408	364	283
ARNT_TSS1_+189_g5	ARNT	338	368	308	333
ARNT2_TSS1_-336_g1	ARNT2	663	709	707	1027
ARNT2_TSS1_-230_g2	ARNT2	826	767	822	600
ARNT2_TSS1_-97_g3	ARNT2	579	519	662	648
ARNT2_TSS1_+64_g4	ARNT2	383	619	473	508
ARNT2_TSS1_+201_g5	ARNT2	526	906	387	462
ARNTL_TSS1_-343_g1	ARNTL	1437	808	584	974
ARNTL_TSS1_-223_g2	ARNTL	840	554	861	823
ARNTL_TSS1_-98_g3	ARNTL	882	1153	907	930
ARNTL_TSS1_+30_g4	ARNTL	1318	868	808	985
ARNTL_TSS1_+183_g5	ARNTL	1886	1106	1476	1201
ARNTL2_TSS1_-329_g1	ARNTL2	298	361	594	416
ARNTL2_TSS1_-235_g2	ARNTL2	309	246	206	296
ARNTL2_TSS1_-118_g3	ARNTL2	348	340	309	495
ARNTL2_TSS1_+20_g4	ARNTL2	231	294	366	275
ARNTL2_TSS1_+187_g5	ARNTL2	473	325	328	284
ARRB2_TSS1_-349_g1	ARRB2	658	790	621	935
ARRB2_TSS1_-222_g2	ARRB2	1024	1328	727	576
ARRB2_TSS1_-123_g3	ARRB2	738	830	586	615
ARRB2_TSS1_+45_g4	ARRB2	582	672	772	774
ARRB2_TSS1_+186_g5	ARRB2	783	743	641	624
ARVCF_TSS1_-345_g1	ARVCF	628	540	646	292
ARVCF_TSS1_-199_g2	ARVCF	1525	917	904	836
ARVCF_TSS1_-110_g3	ARVCF	912	1469	2210	751
ARVCF_TSS1_+61_g4	ARVCF	1220	698	652	537
ARVCF_TSS1_+200_g5	ARVCF	497	574	922	572
ARX_TSS1_-373_g1	ARX	108	232	204	197
ARX_TSS1_-222_g2	ARX	262	163	199	154
ARX_TSS1_-141_g3	ARX	173	228	243	239
ARX_TSS1_+56_g4	ARX	257	239	334	115
ARX_TSS1_+157_g5	ARX	233	166	130	160
ASB8_TSS1_-348_g1	ASB8	811	978	988	1303
ASB8_TSS1_-196_g2	ASB8	694	742	632	596
ASB8_TSS1_-138_g3	ASB8	682	911	713	764
ASB8_TSS1_+62_g4	ASB8	606	788	532	431
ASB8_TSS1_+196_g5	ASB8	470	555	597	375
ASB9_TSS1_-369_g1	ASB9	586	620	542	495
ASB9_TSS1_-212_g2	ASB9	556	681	1178	885
ASB9_TSS1_-145_g3	ASB9	1394	1103	885	926
ASB9_TSS1_+47_g4	ASB9	420	763	732	610
ASB9_TSS1_+159_g5	ASB9	609	818	682	462
ASCC1_TSS1_-329_g1	ASCC1	196	272	364	419
ASCC1_TSS1_-227_g2	ASCC1	173	221	268	183
ASCC1_TSS1_-144_g3	ASCC1	135	257	158	294
ASCC1_TSS1_+42_g4	ASCC1	168	258	170	197
ASCC1_TSS1_+199_g5	ASCC1	171	176	170	209
ASCC3_TSS1_-347_g1	ASCC3	592	588	423	451
ASCC3_TSS1_-239_g2	ASCC3	482	813	859	560
ASCC3_TSS1_-126_g3	ASCC3	512	457	501	599
ASCC3_TSS1_+25_g4	ASCC3	891	693	553	625
ASCC3_TSS1_+185_g5	ASCC3	862	570	548	678
ASCL1_TSS1_-352_g1	ASCL1	668	405	615	665
ASCL1_TSS1_-226_g2	ASCL1	453	693	419	768
ASCL1_TSS1_-138_g3	ASCL1	863	1130	645	585
ASCL1_TSS1_+43_g4	ASCL1	468	590	815	719
ASCL1_TSS1_+176_g5	ASCL1	410	693	405	457
ASCL2_TSS1_-371_g1	ASCL2	415	372	341	380
ASCL2_TSS1_-225_g2	ASCL2	301	260	376	260
ASCL2_TSS1_-145_g3	ASCL2	297	204	308	250
ASCL2_TSS1_+64_g4	ASCL2	213	228	267	142
ASCL2_TSS1_+170_g5	ASCL2	405	319	292	287
ASCL3_TSS1_-336_g1	ASCL3	688	935	1325	654
ASCL3_TSS1_-245_g2	ASCL3	590	455	959	953
ASCL3_TSS1_-124_g3	ASCL3	615	793	851	688
ASCL3_TSS1_+33_g4	ASCL3	976	632	726	1048
ASCL3_TSS1_+158_g5	ASCL3	969	1108	795	808
ASF1A_TSS1_-373_g1	ASF1A	199	278	541	223
ASF1A_TSS1_-207_g2	ASF1A	239	390	286	432
ASF1A_TSS1_-125_g3	ASF1A	336	215	202	368
ASF1A_TSS1_+34_g4	ASF1A	295	312	346	321
ASF1A_TSS1_+170_g5	ASF1A	240	260	365	558
ASF1B_TSS1_-334_g1	ASF1B	1300	797	1102	1279
ASF1B_TSS1_-222_g2	ASF1B	739	734	765	495
ASF1B_TSS1_-96_g3	ASF1B	751	797	1386	763
ASF1B_TSS1_+57_g4	ASF1B	869	772	850	984
ASF1B_TSS1_+169_g5	ASF1B	953	651	1029	738
ASH1L_TSS1_-360_g1	ASH1L	642	446	463	894
ASH1L_TSS1_-208_g2	ASH1L	469	464	461	559
ASH1L_TSS1_-127_g3	ASH1L	820	1132	956	1434
ASH1L_TSS1_+52_g4	ASH1L	977	861	522	574
ASH1L_TSS1_+197_g5	ASH1L	588	747	530	616
ASH2L_TSS1_-352_g1	ASH2L	663	462	412	393
ASH2L_TSS1_-213_g2	ASH2L	822	662	703	673
ASH2L_TSS1_-135_g3	ASH2L	681	1028	604	554
ASH2L_TSS1_+38_g4	ASH2L	568	504	794	564
ASH2L_TSS1_+171_g5	ASH2L	594	493	521	555
ASNA1_TSS1_-332_g1	ASNA1	800	487	581	555
ASNA1_TSS1_-207_g2	ASNA1	519	290	272	267
ASNA1_TSS1_-131_g3	ASNA1	657	880	283	450
ASNA1_TSS1_+44_g4	ASNA1	457	699	476	485
ASNA1_TSS1_+172_g5	ASNA1	944	664	453	782
ASPA_TSS1_-359_g1	ASPA	351	827	548	531
ASPA_TSS1_-200_g2	ASPA	241	199	360	600
ASPA_TSS1_-144_g3	ASPA	506	515	350	488
ASPA_TSS1_+52_g4	ASPA	365	328	386	398
ASPA_TSS1_+203_g5	ASPA	640	535	439	413
ASPM_TSS1_-365_g1	ASPM	180	228	106	242
ASPM_TSS1_-230_g2	ASPM	231	342	350	213
ASPM_TSS1_-122_g3	ASPM	279	164	215	146
ASPM_TSS1_+42_g4	ASPM	347	215	383	187
ASPM_TSS1_+158_g5	ASPM	253	124	142	101
ASRGL1_TSS1_-342_g1	ASRGL1	318	315	349	413
ASRGL1_TSS1_-215_g2	ASRGL1	459	398	651	549
ASRGL1_TSS1_-124_g3	ASRGL1	405	763	248	288
ASRGL1_TSS1_+31_g4	ASRGL1	391	375	353	514
ASRGL1_TSS1_+173_g5	ASRGL1	404	692	507	410
ASUN_TSS1_-375_g1	ASUN	546	554	326	477
ASUN_TSS1_-237_g2	ASUN	542	875	720	542
ASUN_TSS1_-126_g3	ASUN	603	571	785	822
ASUN_TSS1_+50_g4	ASUN	540	1045	668	795
ASUN_TSS1_+193_g5	ASUN	1075	939	638	651
ASXL1_TSS1_-368_g1	ASXL1	910	579	583	732
ASXL1_TSS1_-202_g2	ASXL1	430	476	529	365
ASXL1_TSS1_-96_g3	ASXL1	797	544	934	577
ASXL1_TSS1_+33_g4	ASXL1	689	751	513	1408
ASXL1_TSS1_+178_g5	ASXL1	560	1006	515	485
ASXL2_TSS1_-346_g1	ASXL2	1006	936	769	889
ASXL2_TSS1_-220_g2	ASXL2	765	1198	987	1257
ASXL2_TSS1_-128_g3	ASXL2	838	882	903	801
ASXL2_TSS1_+32_g4	ASXL2	985	635	1237	776
ASXL2_TSS1_+170_g5	ASXL2	889	1114	698	1103
ASXL3_TSS1_-345_g1	ASXL3	680	727	584	657
ASXL3_TSS1_-201_g2	ASXL3	570	625	611	483
ASXL3_TSS1_-103_g3	ASXL3	515	914	1088	909
ASXL3_TSS1_+41_g4	ASXL3	555	1111	504	312
ASXL3_TSS1_+179_g5	ASXL3	577	632	658	763
ASZ1_TSS1_-339_g1	ASZ1	615	686	489	510
ASZ1_TSS1_-199_g2	ASZ1	295	521	725	452
ASZ1_TSS1_-128_g3	ASZ1	448	349	402	421
ASZ1_TSS1_+17_g4	ASZ1	617	371	364	381
ASZ1_TSS1_+168_g5	ASZ1	635	463	361	584
ATAD2_TSS1_-365_g1	ATAD2	238	242	176	181
ATAD2_TSS1_-196_g2	ATAD2	307	229	244	290
ATAD2_TSS1_-132_g3	ATAD2	218	378	221	280
ATAD2_TSS1_+20_g4	ATAD2	307	213	221	249
ATAD2_TSS1_+196_g5	ATAD2	280	451	207	225
ATAD5_TSS1_-342_g1	ATAD5	586	551	465	394
ATAD5_TSS1_-231_g2	ATAD5	421	838	656	670
ATAD5_TSS1_-129_g3	ATAD5	884	651	595	501
ATAD5_TSS1_+41_g4	ATAD5	841	897	1114	1280
ATAD5_TSS1_+164_g5	ATAD5	808	843	652	528
ATE1_TSS1_-353_g1	ATE1	551	319	477	396
ATE1_TSS1_-217_g2	ATE1	398	522	278	319
ATE1_TSS1_-96_g3	ATE1	622	505	352	603
ATE1_TSS1_+31_g4	ATE1	522	385	258	222
ATE1_TSS1_+162_g5	ATE1	460	454	531	536
ATF1_TSS1_-346_g1	ATF1	727	453	514	550
ATF1_TSS1_-228_g2	ATF1	506	859	695	631
ATF1_TSS1_-138_g3	ATF1	418	554	565	527
ATF1_TSS1_+56_g4	ATF1	658	417	401	485
ATF1_TSS1_+197_g5	ATF1	623	670	546	652
ATF2_TSS1_-344_g1	ATF2	759	811	724	1015
ATF2_TSS1_-220_g2	ATF2	484	792	967	509
ATF2_TSS1_-96_g3	ATF2	1070	1077	736	1343
ATF2_TSS1_+41_g4	ATF2	987	821	1042	356
ATF2_TSS1_+188_g5	ATF2	720	556	912	1089
ATF3_TSS1_-360_g1	ATF3	240	165	125	260
ATF3_TSS1_-205_g2	ATF3	283	285	255	187
ATF3_TSS1_-141_g3	ATF3	334	289	171	322
ATF3_TSS1_+16_g4	ATF3	241	206	168	200
ATF3_TSS1_+171_g5	ATF3	290	246	298	226
ATF4_TSS1_-371_g1	ATF4	350	355	330	521
ATF4_TSS1_-217_g2	ATF4	334	186	418	335
ATF4_TSS1_-112_g3	ATF4	489	311	497	634
ATF4_TSS1_+44_g4	ATF4	313	260	198	302
ATF4_TSS1_+188_g5	ATF4	608	605	535	402
ATF5_TSS1_-357_g1	ATF5	538	409	366	790
ATF5_TSS1_-215_g2	ATF5	1209	887	786	925
ATF5_TSS1_-134_g3	ATF5	710	684	682	708
ATF5_TSS1_+54_g4	ATF5	474	276	492	621
ATF5_TSS1_+192_g5	ATF5	472	571	668	664
ATF6_TSS1_-360_g1	ATF6	191	152	154	138
ATF6_TSS1_-234_g2	ATF6	274	179	243	284
ATF6_TSS1_-114_g3	ATF6	227	187	210	184
ATF6_TSS1_+35_g4	ATF6	226	156	216	177
ATF6_TSS1_+170_g5	ATF6	241	219	141	134
ATF6B_TSS1_-342_g1	ATF6B	456	383	281	218
ATF6B_TSS1_-210_g2	ATF6B	376	379	417	328
ATF6B_TSS1_-128_g3	ATF6B	377	314	474	403
ATF6B_TSS1_+56_g4	ATF6B	656	411	475	503
ATF6B_TSS1_+199_g5	ATF6B	289	427	536	487
ATF7_TSS1_-343_g1	ATF7	286	335	289	332
ATF7_TSS1_-198_g2	ATF7	273	409	387	373
ATF7_TSS1_-130_g3	ATF7	331	307	238	183
ATF7_TSS1_+18_g4	ATF7	557	312	574	418
ATF7_TSS1_+194_g5	ATF7	388	284	328	374
ATF7IP_TSS1_-342_g1	ATF7IP	510	474	678	666
ATF7IP_TSS1_-232_g2	ATF7IP	406	280	306	312
ATF7IP_TSS1_-123_g3	ATF7IP	417	396	423	421
ATF7IP_TSS1_+49_g4	ATF7IP	349	725	581	570
ATF7IP_TSS1_+169_g5	ATF7IP	583	691	785	490
ATF7IP2_TSS1_-351_g1	ATF7IP2	425	328	307	319
ATF7IP2_TSS1_-201_g2	ATF7IP2	740	704	487	418
ATF7IP2_TSS1_-104_g3	ATF7IP2	356	396	501	311
ATF7IP2_TSS1_+32_g4	ATF7IP2	467	250	391	326
ATF7IP2_TSS1_+199_g5	ATF7IP2	356	309	384	670
ATM_TSS1_-367_g1	ATM	475	548	1441	1530
ATM_TSS1_-222_g2	ATM	269	406	1092	1225
ATM_TSS1_-129_g3	ATM	252	395	792	624
ATM_TSS1_+25_g4	ATM	284	253	571	298
ATM_TSS1_+168_g5	ATM	603	412	614	330
ATMIN_TSS1_-360_g1	ATMIN	217	177	125	198
ATMIN_TSS1_-197_g2	ATMIN	165	132	152	151
ATMIN_TSS1_-104_g3	ATMIN	65	108	97	196
ATMIN_TSS1_+48_g4	ATMIN	233	232	215	183
ATMIN_TSS1_+204_g5	ATMIN	143	118	106	132
ATN1_TSS1_-342_g1	ATN1	730	651	667	268
ATN1_TSS1_-211_g2	ATN1	416	458	650	546
ATN1_TSS1_-95_g3	ATN1	514	524	733	787
ATN1_TSS1_+29_g4	ATN1	593	644	321	734
ATN1_TSS1_+197_g5	ATN1	362	370	556	402
ATOH8_TSS1_-340_g1	ATOH8	546	497	654	693
ATOH8_TSS1_-223_g2	ATOH8	958	1033	723	907
ATOH8_TSS1_-110_g3	ATOH8	595	412	621	705
ATOH8_TSS1_+59_g4	ATOH8	843	990	1135	1123
ATOH8_TSS1_+157_g5	ATOH8	500	570	620	671
ATP1A3_TSS1_-353_g1	ATP1A3	329	528	620	370
ATP1A3_TSS1_-206_g2	ATP1A3	491	461	347	444
ATP1A3_TSS1_-142_g3	ATP1A3	259	277	345	200
ATP1A3_TSS1_+15_g4	ATP1A3	309	513	669	551
ATP1A3_TSS1_+157_g5	ATP1A3	406	414	484	353
ATP1B4_TSS1_-364_g1	ATP1B4	754	614	832	842
ATP1B4_TSS1_-205_g2	ATP1B4	836	710	634	381
ATP1B4_TSS1_-140_g3	ATP1B4	909	1068	565	668
ATP1B4_TSS1_+42_g4	ATP1B4	763	734	622	631
ATP1B4_TSS1_+193_g5	ATP1B4	210	317	424	458
ATP2A3_TSS1_-339_g1	ATP2A3	979	1014	843	1259
ATP2A3_TSS1_-228_g2	ATP2A3	1212	1361	754	1639
ATP2A3_TSS1_-139_g3	ATP2A3	1019	999	686	828
ATP2A3_TSS1_+23_g4	ATP2A3	747	1339	809	940
ATP2A3_TSS1_+189_g5	ATP2A3	918	1112	873	524
ATP5A1_TSS1_-348_g1	ATP5A1	515	493	455	696
ATP5A1_TSS1_-241_g2	ATP5A1	652	470	764	671
ATP5A1_TSS1_-96_g3	ATP5A1	583	432	573	735
ATP5A1_TSS1_+25_g4	ATP5A1	492	751	684	717
ATP5A1_TSS1_+159_g5	ATP5A1	639	524	586	518
ATP6V0A1_TSS1_-345_g1	ATP6V0A1	503	370	511	742
ATP6V0A1_TSS1_-238_g2	ATP6V0A1	893	881	529	862
ATP6V0A1_TSS1_-140_g3	ATP6V0A1	498	597	719	816
ATP6V0A1_TSS1_+19_g4	ATP6V0A1	544	504	599	362
ATP6V0A1_TSS1_+198_g5	ATP6V0A1	493	542	721	520
ATPAF2_TSS1_-332_g1	ATPAF2	755	774	1121	702
ATPAF2_TSS1_-202_g2	ATPAF2	663	529	611	678
ATPAF2_TSS1_-142_g3	ATPAF2	699	996	855	751
ATPAF2_TSS1_+49_g4	ATPAF2	638	761	764	681
ATPAF2_TSS1_+197_g5	ATPAF2	742	702	799	699
ATR_TSS1_-358_g1	ATR	642	659	596	858
ATR_TSS1_-216_g2	ATR	865	1032	821	694
ATR_TSS1_-102_g3	ATR	728	674	574	814
ATR_TSS1_+43_g4	ATR	913	802	941	996
ATR_TSS1_+187_g5	ATR	1035	2168	1211	2185
ATRAID_TSS1_-347_g1	ATRAID	585	702	1229	906
ATRAID_TSS1_-221_g2	ATRAID	657	519	478	713
ATRAID_TSS1_-121_g3	ATRAID	730	759	375	494
ATRAID_TSS1_+57_g4	ATRAID	887	705	920	707
ATRAID_TSS1_+161_g5	ATRAID	459	500	921	815
ATRIP_TSS1_-328_g1	ATRIP	505	493	625	520
ATRIP_TSS1_-224_g2	ATRIP	937	604	722	595
ATRIP_TSS1_-120_g3	ATRIP	1072	754	746	807
ATRIP_TSS1_+20_g4	ATRIP	693	876	1045	1013
ATRIP_TSS1_+173_g5	ATRIP	707	748	789	494
ATRX_TSS1_-375_g1	ATRX	991	632	685	1145
ATRX_TSS1_-231_g2	ATRX	793	623	278	425
ATRX_TSS1_-109_g3	ATRX	346	645	611	395
ATRX_TSS1_+49_g4	ATRX	418	1154	628	622
ATRX_TSS1_+198_g5	ATRX	387	493	351	430
ATXN1_TSS1_-351_g1	ATXN1	750	471	624	527
