sgRNA	Gene	T0_rep1	T0_rep2	DMSO_rep1	DMSO_rep2	Drug_rep1	Drug_rep2	DrugHi_rep1	DrugHi_rep2
ARGFX_sg4	ARGFX	670	1105	1517	1005	1726	908	1229	691
ARHGAP22_sg1	ARHGAP22	315	236	284	328	258	241	198	387
ARHGAP22_sg2	ARHGAP22	277	245	191	228	328	265	245	321
ARHGAP22_sg3	ARHGAP22	336	263	203	295	367	421	324	348
ARHGAP22_sg4	ARHGAP22	330	372	179	162	176	205	364	285
ARHGEF10_sg1	ARHGEF10	1033	1072	895	1129	1174	904	1187	863
ARHGEF10_sg2	ARHGEF10	1042	1165	1024	887	1203	1270	913	924
ARHGEF10_sg3	ARHGEF10	1832	1293	1750	931	1335	1043	1396	1123
ARHGEF10_sg4	ARHGEF10	1099	1594	673	1050	856	714	970	958
ARID2_sg1	ARID2	1076	1436	1417	1545	1077	748	939	952
ARID2_sg2	ARID2	819	782	705	950	892	660	666	740
ARID2_sg3	ARID2	719	756	753	590	754	718	775	863
ARID2_sg4	ARID2	656	983	713	787	807	721	894	811
ARID3A_sg1	ARID3A	282	552	362	512	334	340	302	291
ARID3A_sg2	ARID3A	569	723	369	544	374	441	376	340
ARID3A_sg3	ARID3A	629	459	423	306	345	374	385	228
ARID3A_sg4	ARID3A	314	604	401	460	591	366	367	261
ARID3B_sg1	ARID3B	1207	1261	769	1043	1162	1445	1343	1631
ARID3B_sg2	ARID3B	1099	804	1445	1180	1293	1198	1268	883
ARID3B_sg3	ARID3B	887	1083	1538	1196	1858	1495	1574	1767
ARID3B_sg4	ARID3B	856	1283	936	1095	1230	1426	1210	1235
ARID4A_sg1	ARID4A	1077	666	669	550	920	843	1163	974
ARID4A_sg2	ARID4A	1319	1047	1525	1453	1192	1658	2013	1677
ARID4A_sg3	ARID4A	906	679	738	563	1057	628	1037	620
ARID4A_sg4	ARID4A	945	751	1013	911	1320	1053	1443	1369
ARID4B_sg1	ARID4B	899	865	929	1596	644	840	1159	527
ARID4B_sg2	ARID4B	782	889	764	837	723	915	953	911
ARID4B_sg3	ARID4B	713	822	845	872	917	539	901	916
ARID4B_sg4	ARID4B	1090	856	1029	1033	846	907	1229	1623
ARID5A_sg1	ARID5A	815	694	779	565	342	389	519	654
ARID5A_sg2	ARID5A	997	728	1125	790	507	1043	935	665
ARID5A_sg3	ARID5A	490	623	638	354	515	628	471	649
ARID5A_sg4	ARID5A	432	774	496	564	666	1361	796	869
ARID5B_sg1	ARID5B	800	989	1515	945	836	551	732	977
ARID5B_sg2	ARID5B	845	858	953	776	651	638	1083	590
ARID5B_sg3	ARID5B	664	452	864	401	569	747	598	878
ARID5B_sg4	ARID5B	627	612	696	601	556	489	834	532
ARL2_sg1	ARL2	259	220	241	291	343	273	251	232
ARL2_sg2	ARL2	221	260	193	164	254	198	178	196
ARL2_sg3	ARL2	184	245	189	297	166	185	160	223
ARL2_sg4	ARL2	343	292	330	411	321	277	304	283
ARL4D_sg1	ARL4D	1130	1032	1719	1271	624	1382	1570	1793
ARL4D_sg2	ARL4D	819	778	1650	859	1127	1145	922	1328
ARL4D_sg3	ARL4D	871	1100	1042	1637	1270	1243	1628	755
ARL4D_sg4	ARL4D	1339	897	1108	1646	753	1058	1739	1227
ARNTL2_sg1	ARNTL2	538	623	819	894	562	582	814	560
ARNTL2_sg2	ARNTL2	667	612	548	636	468	552	488	497
ARNTL2_sg3	ARNTL2	698	685	722	434	413	775	677	455
ARNTL2_sg4	ARNTL2	767	836	488	395	432	395	564	544
ARRB2_sg1	ARRB2	664	530	532	533	498	441	273	369
ARRB2_sg2	ARRB2	355	487	305	404	498	438	306	414
ARRB2_sg3	ARRB2	345	333	217	273	390	439	309	287
ARRB2_sg4	ARRB2	435	376	521	475	269	471	410	427
ARX_sg1	ARX	1368	1244	1491	1160	1291	1157	1526	1696
ARX_sg2	ARX	713	952	793	928	1218	829	868	1103
ARX_sg3	ARX	913	1041	1019	1427	1009	1173	850	914
ARX_sg4	ARX	1443	1531	744	1351	1164	919	1130	1541
ASCC1_sg1	ASCC1	455	443	260	209	403	208	311	330
ASCC1_sg2	ASCC1	316	310	449	199	247	339	301	335
ASCC1_sg3	ASCC1	495	344	301	337	304	311	259	468
ASCC1_sg4	ASCC1	285	410	372	390	402	289	251	349
ASCL1_sg1	ASCL1	794	637	679	431	651	307	568	395
ASCL1_sg2	ASCL1	735	534	466	350	621	435	363	499
ASCL1_sg3	ASCL1	465	424	437	286	469	662	570	313
ASCL1_sg4	ASCL1	494	586	407	443	418	444	701	505
ASCL2_sg1	ASCL2	273	368	454	330	687	462	295	439
ASCL2_sg2	ASCL2	447	287	295	451	457	239	445	255
ASCL2_sg3	ASCL2	423	379	336	370	494	392	269	438
ASCL2_sg4	ASCL2	371	380	329	399	270	281	355	259
ASH2L_sg1	ASH2L	893	1194	1153	1340	1929	1372	1625	896
ASH2L_sg2	ASH2L	1500	1123	1023	756	2063	1236	1534	1655
ASH2L_sg3	ASH2L	759	724	996	1462	1073	1374	1424	1299
ASH2L_sg4	ASH2L	846	914	849	1199	685	941	986	1825
ASNA1_sg1	ASNA1	766	932	1046	991	786	750	939	813
ASNA1_sg2	ASNA1	740	618	634	441	537	649	568	705
ASNA1_sg3	ASNA1	1025	685	1141	589	572	960	871	1157
ASNA1_sg4	ASNA1	707	826	415	980	773	729	617	899
ASPA_sg1	ASPA	190	163	229	159	143	177	246	239
ASPA_sg2	ASPA	223	313	275	194	218	298	207	235
ASPA_sg3	ASPA	267	196	259	205	145	386	196	275
ASPA_sg4	ASPA	217	191	140	189	333	146	223	163
ASPM_sg1	ASPM	533	965	243	522	418	625	430	659
ASPM_sg2	ASPM	566	473	526	706	777	646	808	298
ASPM_sg3	ASPM	385	598	545	589	662	828	567	789
ASPM_sg4	ASPM	526	664	546	663	729	677	566	684
ASRGL1_sg1	ASRGL1	343	207	180	231	311	291	200	203
ASRGL1_sg2	ASRGL1	246	177	149	132	143	266	124	186
ASRGL1_sg3	ASRGL1	266	234	242	304	249	284	186	244
ASRGL1_sg4	ASRGL1	222	264	314	293	273	216	155	256
ASUN_sg1	ASUN	1218	1102	983	1268	1257	1603	1250	1217
ASUN_sg2	ASUN	1154	2375	1261	1311	1270	1421	1138	940
ASUN_sg3	ASUN	1263	1787	1567	1291	1326	1131	1209	1611
ASUN_sg4	ASUN	1103	1486	682	876	643	1529	1261	1169
ASZ1_sg1	ASZ1	654	697	497	441	667	714	597	463
ASZ1_sg2	ASZ1	419	579	756	851	457	876	742	785
ASZ1_sg3	ASZ1	650	630	706	423	847	786	854	763
ASZ1_sg4	ASZ1	610	535	810	631	813	578	682	671
ATF5_sg1	ATF5	242	149	197	207	107	155	252	226
ATF5_sg2	ATF5	204	128	166	204	164	211	194	117
ATF5_sg3	ATF5	191	222	155	271	281	269	189	162
ATF5_sg4	ATF5	243	212	299	293	227	198	228	216
ATF7_sg1	ATF7	1338	1177	776	757	1396	1415	1061	1251
ATF7_sg2	ATF7	713	1375	883	1006	1159	848	505	728
ATF7_sg3	ATF7	1512	721	806	878	1811	1567	1130	394
ATF7_sg4	ATF7	1043	782	674	958	1105	645	1398	1116
ATF7IP_sg1	ATF7IP	1143	1072	1349	777	1036	593	989	895
ATF7IP_sg2	ATF7IP	1153	1358	1137	1384	1361	1393	1487	1056
ATF7IP_sg3	ATF7IP	1251	1032	1207	800	639	1556	959	868
ATF7IP_sg4	ATF7IP	1194	1255	1185	939	2100	1466	1552	1082
ATF7IP2_sg1	ATF7IP2	826	774	1022	860	1136	789	1394	1475
ATF7IP2_sg2	ATF7IP2	1430	964	1206	966	1633	1381	2393	2097
ATF7IP2_sg3	ATF7IP2	1031	1530	792	2554	1726	1410	774	1147
ATF7IP2_sg4	ATF7IP2	1204	1423	1105	797	1325	1194	1219	1198
ATM_sg1	ATM	649	656	1013	578	378	334	170	320
ATM_sg2	ATM	584	552	754	850	268	261	190	219
ATM_sg3	ATM	534	651	704	962	199	291	154	178
ATM_sg4	ATM	831	640	831	542	225	209	118	144
ATP1A3_sg1	ATP1A3	855	836	617	855	825	935	800	936
ATP1A3_sg2	ATP1A3	823	895	710	842	1567	1090	1377	1323
ATP1A3_sg3	ATP1A3	710	673	863	727	655	570	1640	468
ATP1A3_sg4	ATP1A3	599	573	1125	786	540	537	646	724
ATP1B4_sg1	ATP1B4	663	867	858	781	1082	787	1225	786
ATP1B4_sg2	ATP1B4	698	1038	844	805	778	816	1027	882
ATP1B4_sg3	ATP1B4	735	754	578	1149	785	917	1398	895
ATP1B4_sg4	ATP1B4	1253	944	814	1121	1017	1152	955	1068
ATP2A3_sg1	ATP2A3	304	462	353	404	313	375	395	236
ATP2A3_sg2	ATP2A3	258	248	315	343	359	472	410	263
ATP2A3_sg3	ATP2A3	356	414	361	385	254	294	261	317
ATP2A3_sg4	ATP2A3	250	288	266	259	350	158	302	295
ATP6V0A1_sg1	ATP6V0A1	949	710	831	521	1085	914	1154	928
ATP6V0A1_sg2	ATP6V0A1	1094	642	753	704	1488	1345	874	1195
ATP6V0A1_sg3	ATP6V0A1	877	620	1142	525	896	699	653	822
ATP6V0A1_sg4	ATP6V0A1	1297	956	801	1009	990	942	1051	1114
ATR_sg1	ATR	263	266	461	355	142	71	84	67
ATR_sg2	ATR	302	164	317	292	138	119	100	137
ATR_sg3	ATR	305	234	409	431	137	193	79	70
ATR_sg4	ATR	327	358	326	395	148	84	71	90
ATRAID_sg1	ATRAID	816	1105	976	637	462	589	1112	750
ATRAID_sg2	ATRAID	623	599	792	485	393	786	366	803
ATRAID_sg3	ATRAID	714	1038	723	733	779	975	924	560
ATRAID_sg4	ATRAID	878	1059	1055	1307	1083	812	908	904
ATRIP_sg1	ATRIP	1072	1179	817	1287	207	270	93	128
ATRIP_sg2	ATRIP	885	825	692	1208	343	273	198	156
ATRIP_sg3	ATRIP	824	985	703	905	309	291	73	143
ATRIP_sg4	ATRIP	863	920	1293	831	218	342	149	246
ATRX_sg1	ATRX	849	847	929	1158	639	918	633	1108
ATRX_sg2	ATRX	1168	1833	1045	1154	1215	782	590	607
ATRX_sg3	ATRX	1197	954	992	949	852	596	1026	758
ATRX_sg4	ATRX	774	1570	1223	1247	979	1132	1199	970
ATXN1L_sg1	ATXN1L	1441	1188	1915	1532	1073	1261	1003	1122
ATXN1L_sg2	ATXN1L	931	1113	1927	1028	1066	1340	1315	1091
ATXN1L_sg3	ATXN1L	994	1483	892	1035	1252	1025	774	903
ATXN1L_sg4	ATXN1L	619	1121	1923	1249	1097	1605	1728	1703
ATXN2_sg1	ATXN2	719	882	1204	719	737	924	962	1267
ATXN2_sg2	ATXN2	449	482	1356	505	602	527	734	655
ATXN2_sg3	ATXN2	472	775	791	612	734	983	807	1025
ATXN2_sg4	ATXN2	544	771	797	559	917	783	603	635
ATXN7_sg1	ATXN7	590	764	789	791	690	484	793	966
ATXN7_sg2	ATXN7	461	610	512	466	440	523	683	563
ATXN7_sg3	ATXN7	681	660	879	394	742	516	756	509
ATXN7_sg4	ATXN7	470	608	599	631	768	646	433	757
AUNIP_sg1	AUNIP	793	608	533	714	734	614	492	435
AUNIP_sg2	AUNIP	594	389	339	469	524	534	392	480
AUNIP_sg3	AUNIP	369	533	882	573	484	782	531	735
AUNIP_sg4	AUNIP	565	630	696	391	625	444	694	611
AURKA_sg1	AURKA	459	572	402	506	369	355	632	533
AURKA_sg2	AURKA	576	426	471	688	567	531	468	381
AURKA_sg3	AURKA	475	489	620	483	543	833	533	268
AURKA_sg4	AURKA	505	485	349	365	335	363	444	535
AURKC_sg1	AURKC	714	942	576	760	733	594	885	794
AURKC_sg2	AURKC	869	878	992	774	931	702	1516	819
AURKC_sg3	AURKC	1180	1489	1290	1246	1086	984	1218	506
AURKC_sg4	AURKC	825	826	705	791	1304	661	966	642
AVPI1_sg1	AVPI1	980	656	1281	1027	845	1000	984	844
AVPI1_sg2	AVPI1	1386	1691	817	671	1063	890	1768	610
AVPI1_sg3	AVPI1	668	983	1049	573	684	1180	1167	891
AVPI1_sg4	AVPI1	814	1338	638	997	791	520	668	671
AXIN2_sg1	AXIN2	804	723	638	907	637	1139	908	638
AXIN2_sg2	AXIN2	857	1238	877	603	1564	945	1018	1379
AXIN2_sg3	AXIN2	1044	801	1387	719	1271	757	825	686
AXIN2_sg4	AXIN2	975	776	846	824	1538	974	1113	1305
AXL_sg1	AXL	591	922	1251	1685	1173	1222	1353	2191
AXL_sg2	AXL	1205	910	1411	1556	1180	1120	1574	1126
AXL_sg3	AXL	1069	1066	1028	894	822	1100	1774	696
AXL_sg4	AXL	1231	946	1376	1016	1060	1092	924	1529
AZI1_sg1	AZI1	1026	482	929	688	1219	803	1011	1175
AZI1_sg2	AZI1	808	1179	1165	779	1308	1349	1110	1179
AZI1_sg3	AZI1	549	795	510	833	872	696	477	593
AZI1_sg4	AZI1	803	834	718	560	989	600	758	692
B9D2_sg1	B9D2	1544	1959	1116	1522	1116	1604	1629	1394
B9D2_sg2	B9D2	1210	981	751	1136	826	1240	1664	1249
B9D2_sg3	B9D2	1300	1262	1298	1102	1192	989	1293	1449
B9D2_sg4	B9D2	753	1300	1020	1203	1152	948	1110	1512
BABAM1_sg1	BABAM1	444	345	410	331	392	531	520	310
BABAM1_sg2	BABAM1	361	488	413	527	462	482	252	500
BABAM1_sg3	BABAM1	663	611	528	546	460	384	571	296
BABAM1_sg4	BABAM1	657	344	497	452	490	321	375	706
BACH1_sg1	BACH1	1021	882	1056	1060	956	984	909	992
BACH1_sg2	BACH1	402	679	353	746	768	775	817	714
BACH1_sg3	BACH1	1128	1056	849	801	1089	944	691	894
BACH1_sg4	BACH1	1056	658	792	675	1010	1306	979	530
BACH2_sg1	BACH2	103	153	155	145	148	146	88	172
BACH2_sg2	BACH2	134	153	136	103	102	100	111	120
BACH2_sg3	BACH2	319	286	162	250	141	194	296	228
BACH2_sg4	BACH2	137	182	159	149	164	161	108	158
BAIAP2_sg1	BAIAP2	659	657	749	677	726	762	1000	877
BAIAP2_sg2	BAIAP2	560	634	345	507	495	707	466	573
BAIAP2_sg3	BAIAP2	524	460	497	539	647	439	519	285
BAIAP2_sg4	BAIAP2	424	539	551	556	652	540	568	580
BAIAP2L1_sg1	BAIAP2L1	1193	1317	1179	797	1161	1395	882	1266
BAIAP2L1_sg2	BAIAP2L1	1031	685	771	885	997	452	961	704
BAIAP2L1_sg3	BAIAP2L1	806	875	935	776	859	1452	1151	833
BAIAP2L1_sg4	BAIAP2L1	745	1274	1268	1224	936	1294	1475	1399
BARD1_sg1	BARD1	421	320	492	398	203	155	65	36
BARD1_sg2	BARD1	395	352	405	597	134	89	75	39
BARD1_sg3	BARD1	495	409	431	482	143	157	89	41
BARD1_sg4	BARD1	631	263	327	572	142	110	80	79
BARHL1_sg1	BARHL1	884	633	529	647	577	513	506	512
BARHL1_sg2	BARHL1	750	561	794	735	887	574	652	551
BARHL1_sg3	BARHL1	575	681	662	436	515	451	433	483
BARHL1_sg4	BARHL1	497	552	558	510	613	446	521	570
BARHL2_sg1	BARHL2	589	676	575	779	553	575	754	491
BARHL2_sg2	BARHL2	469	687	553	559	283	404	435	445
BARHL2_sg3	BARHL2	463	455	396	741	598	588	880	432
BARHL2_sg4	BARHL2	434	412	584	380	640	411	461	414
BARX2_sg1	BARX2	747	523	778	1108	623	721	630	411
BARX2_sg2	BARX2	500	715	541	362	610	470	430	364
BARX2_sg3	BARX2	630	891	945	758	729	543	576	754
BARX2_sg4	BARX2	696	672	694	539	603	552	405	494
BASP1_sg1	BASP1	762	601	818	763	649	795	917	817
BASP1_sg2	BASP1	782	576	698	697	530	640	620	483
BASP1_sg3	BASP1	1370	679	847	668	920	915	766	654
BASP1_sg4	BASP1	1051	1155	432	733	704	1017	601	1040
BATF_sg1	BATF	852	509	743	1126	962	1257	1065	1338
BATF_sg2	BATF	787	1502	863	783	1224	974	1018	1112
BATF_sg3	BATF	602	1006	674	537	1142	1012	591	936
BATF_sg4	BATF	462	616	573	756	937	653	870	1122
BATF2_sg1	BATF2	1042	1289	1581	1843	949	966	967	1172
BATF2_sg2	BATF2	1410	1154	1337	1080	1316	1267	1625	1017
BATF2_sg3	BATF2	1417	1629	1819	1724	1069	1661	917	1821
BATF2_sg4	BATF2	1469	1163	1090	931	940	1024	1250	1364
BATF3_sg1	BATF3	913	751	441	506	1093	542	409	876
BATF3_sg2	BATF3	896	1084	653	1200	643	739	896	668
BATF3_sg3	BATF3	868	1005	849	523	603	986	420	665
BATF3_sg4	BATF3	1112	1077	836	1056	637	600	528	543
BAX_sg1	BAX	418	677	506	857	550	977	583	423
BAX_sg2	BAX	324	518	350	806	366	488	361	533
BAX_sg3	BAX	362	668	685	538	552	605	519	428
BAX_sg4	BAX	580	565	454	520	458	413	424	430
BAZ1A_sg1	BAZ1A	548	762	541	621	733	583	372	953
BAZ1A_sg2	BAZ1A	763	627	606	829	1067	648	737	972
BAZ1A_sg3	BAZ1A	587	566	617	645	359	812	420	544
BAZ1A_sg4	BAZ1A	628	717	606	567	502	663	721	872
BBX_sg1	BBX	899	818	892	865	917	1161	951	803
BBX_sg2	BBX	1213	1014	1247	1080	1019	1332	1077	1623
BBX_sg3	BBX	1164	794	873	1437	1266	1202	1540	1096
BBX_sg4	BBX	980	1291	938	1515	1720	2247	873	1554
BCAS2_sg1	BCAS2	678	972	1124	645	1138	858	628	1010
BCAS2_sg2	BCAS2	764	871	1642	876	1098	821	1250	1377
BCAS2_sg3	BCAS2	1089	925	877	1227	1622	1497	1022	1112
BCAS2_sg4	BCAS2	882	520	973	731	788	581	717	958
BCAS3_sg1	BCAS3	605	1073	1396	821	470	947	770	774
BCAS3_sg2	BCAS3	1269	836	1099	730	671	1363	887	1040
BCAS3_sg3	BCAS3	872	1070	1191	1062	1002	1196	1220	847
BCAS3_sg4	BCAS3	1106	977	678	793	1001	977	561	779
BCCIP_sg1	BCCIP	1356	1000	734	591	1179	1076	749	806
BCCIP_sg2	BCCIP	1323	758	1105	937	983	689	1212	1071
BCCIP_sg3	BCCIP	1138	779	709	1090	553	748	449	734
BCCIP_sg4	BCCIP	1103	789	717	788	565	1215	709	1088
BCHE_sg1	BCHE	1166	1198	1470	1900	1585	997	1164	1248
BCHE_sg2	BCHE	1124	616	471	967	867	1225	792	746
BCHE_sg3	BCHE	1328	785	1226	2184	1230	1893	1346	1507
BCHE_sg4	BCHE	1579	1573	1550	1136	984	1051	1697	1162
BCKDK_sg1	BCKDK	90	214	114	67	194	122	96	71
BCKDK_sg2	BCKDK	150	196	105	98	163	133	105	121
BCKDK_sg3	BCKDK	138	200	59	170	236	141	111	144
BCKDK_sg4	BCKDK	122	134	129	243	163	169	88	221
BCL10_sg1	BCL10	1170	1323	1515	1024	1511	1626	1801	1221
BCL10_sg2	BCL10	1110	758	550	623	990	904	1221	1285
BCL10_sg3	BCL10	882	751	808	729	1399	1137	1343	704
BCL10_sg4	BCL10	1217	1140	1084	1028	1708	1370	1424	1507
BCL11A_sg1	BCL11A	1468	1559	1397	1339	1968	1495	1054	1303
BCL11A_sg2	BCL11A	757	1401	1327	1608	1447	1138	1793	2205
BCL11A_sg3	BCL11A	975	636	774	1627	1105	1048	1118	1231
BCL11A_sg4	BCL11A	1209	945	1043	1704	713	1000	1302	1528
BCL2_sg1	BCL2	463	329	209	215	280	234	313	390
BCL2_sg2	BCL2	252	451	365	335	361	327	272	262
BCL2_sg3	BCL2	188	381	354	342	333	243	397	275
BCL2_sg4	BCL2	215	326	223	224	212	235	185	171
BCL2L10_sg1	BCL2L10	249	195	160	184	230	173	190	249
BCL2L10_sg2	BCL2L10	186	176	230	235	246	271	279	266
BCL2L10_sg3	BCL2L10	231	335	189	291	366	190	269	254
BCL2L10_sg4	BCL2L10	166	216	176	149	97	108	230	263
BCL6_sg1	BCL6	607	691	620	670	417	742	842	833
BCL6_sg2	BCL6	848	632	741	711	515	692	372	505
BCL6_sg3	BCL6	549	553	662	753	376	362	484	369
BCL6_sg4	BCL6	706	994	691	1084	557	939	481	531
BCL9L_sg1	BCL9L	501	563	380	619	357	625	674	721
BCL9L_sg2	BCL9L	372	480	616	298	540	586	510	558
BCL9L_sg3	BCL9L	463	613	603	575	739	402	1018	807
BCL9L_sg4	BCL9L	483	322	575	512	706	341	472	397
BCLAF1_sg1	BCLAF1	628	528	264	299	294	342	512	319
BCLAF1_sg2	BCLAF1	352	635	765	439	312	468	595	674
BCLAF1_sg3	BCLAF1	315	462	361	434	621	359	516	521
BCLAF1_sg4	BCLAF1	349	311	175	271	232	323	256	337
BCORL1_sg1	BCORL1	285	241	332	183	221	217	237	289
BCORL1_sg2	BCORL1	179	262	151	252	227	174	248	215
BCORL1_sg3	BCORL1	415	158	229	345	313	177	223	204
BCORL1_sg4	BCORL1	219	185	171	238	247	308	260	201
BDH1_sg1	BDH1	505	667	645	467	669	910	837	995
BDH1_sg2	BDH1	504	558	594	556	555	417	586	988
BDH1_sg3	BDH1	506	587	717	503	1018	763	1040	707
BDH1_sg4	BDH1	1038	686	921	1056	801	635	759	577
BDP1_sg1	BDP1	180	244	301	214	137	161	135	201
BDP1_sg2	BDP1	170	209	201	242	306	145	202	225
BDP1_sg3	BDP1	346	273	186	208	202	174	238	285
BDP1_sg4	BDP1	198	230	221	240	162	129	268	156
BEX1_sg1	BEX1	576	849	751	796	414	652	861	675
BEX1_sg2	BEX1	814	692	1054	976	948	953	979	1221
BEX1_sg3	BEX1	652	954	803	785	576	774	536	585
BEX1_sg4	BEX1	763	1200	1018	998	786	756	1055	654
BEX2_sg1	BEX2	540	807	412	486	440	560	774	463
BEX2_sg2	BEX2	475	695	884	616	691	656	605	574
BEX2_sg3	BEX2	359	444	621	565	422	220	481	439
BEX2_sg4	BEX2	763	554	536	610	731	595	622	613
BHLHE40_sg1	BHLHE40	417	372	440	541	477	319	616	439
BHLHE40_sg2	BHLHE40	281	252	415	442	486	356	213	334
BHLHE40_sg3	BHLHE40	297	395	377	457	301	442	225	591
BHLHE40_sg4	BHLHE40	263	253	341	266	288	224	245	250
BHLHE41_sg1	BHLHE41	582	825	499	854	826	710	954	820
BHLHE41_sg2	BHLHE41	1034	1607	1267	1008	867	1209	1147	1143
BHLHE41_sg3	BHLHE41	753	1102	616	604	730	709	871	949
BHLHE41_sg4	BHLHE41	916	1172	708	652	860	995	1339	1022
BIN1_sg1	BIN1	392	401	536	381	581	432	745	424
BIN1_sg2	BIN1	436	384	306	429	412	435	332	371
BIN1_sg3	BIN1	286	473	168	285	603	338	539	714
BIN1_sg4	BIN1	370	372	492	348	397	664	607	782
BIN3_sg1	BIN3	680	645	479	615	397	458	649	328
BIN3_sg2	BIN3	739	567	722	628	574	489	675	533
BIN3_sg3	BIN3	421	536	561	445	637	673	617	402
BIN3_sg4	BIN3	695	615	919	575	764	313	868	566
BIRC2_sg1	BIRC2	366	564	324	625	489	371	414	575
BIRC2_sg2	BIRC2	736	577	774	609	439	600	990	783
BIRC2_sg3	BIRC2	759	561	526	579	604	354	457	441
BIRC2_sg4	BIRC2	531	566	633	329	854	415	598	570
BIRC3_sg1	BIRC3	747	663	726	635	436	428	433	408
BIRC3_sg2	BIRC3	616	870	961	826	509	500	772	741
BIRC3_sg3	BIRC3	565	627	690	557	525	513	365	344
BIRC3_sg4	BIRC3	1133	999	718	854	822	655	885	731
BIVM_sg1	BIVM	473	319	312	485	313	524	249	324
BIVM_sg2	BIVM	605	374	477	416	431	396	455	264
BIVM_sg3	BIVM	259	491	426	368	401	210	372	361
BIVM_sg4	BIVM	404	360	461	460	282	377	190	329
BLK_sg1	BLK	784	556	545	531	324	563	377	706
BLK_sg2	BLK	683	403	538	466	388	461	578	343
BLK_sg3	BLK	395	322	371	405	370	303	226	279
BLK_sg4	BLK	787	414	727	579	463	691	485	536
BLM_sg1	BLM	904	981	793	1171	367	250	170	241
BLM_sg2	BLM	953	691	585	442	288	373	206	212
BLM_sg3	BLM	913	566	833	1012	199	385	196	139
BLM_sg4	BLM	805	687	1194	749	222	281	177	140
BLVRB_sg1	BLVRB	1149	875	1011	904	915	1415	954	954
BLVRB_sg2	BLVRB	926	904	1115	834	729	861	956	1338
BLVRB_sg3	BLVRB	990	1130	1258	1722	1203	1088	1488	893
BLVRB_sg4	BLVRB	1250	1686	1350	1492	1342	939	1446	1486
BLZF1_sg1	BLZF1	1254	1335	1213	1064	1039	1041	1575	1032
BLZF1_sg2	BLZF1	893	1029	831	1287	638	807	675	749
BLZF1_sg3	BLZF1	857	933	1478	1273	1043	1182	1458	1151
BLZF1_sg4	BLZF1	1201	939	1241	1005	885	907	1338	978
BMPR1A_sg1	BMPR1A	890	559	723	568	811	1182	962	475
BMPR1A_sg2	BMPR1A	857	791	535	655	850	586	883	1280
BMPR1A_sg3	BMPR1A	754	549	509	560	451	676	670	543
BMPR1A_sg4	BMPR1A	565	811	797	546	640	1296	609	1166
BNC1_sg1	BNC1	1062	938	697	1031	1088	1095	1434	1451
BNC1_sg2	BNC1	911	1059	797	1203	1653	1209	1562	927
BNC1_sg3	BNC1	1065	1462	1489	1467	899	1361	800	1289
BNC1_sg4	BNC1	1129	1191	1265	1111	1881	1480	1104	1889
BNIP1_sg1	BNIP1	641	642	426	585	410	369	717	614
BNIP1_sg2	BNIP1	315	458	607	318	380	771	444	453
BNIP1_sg3	BNIP1	822	471	673	541	719	607	594	504
BNIP1_sg4	BNIP1	484	615	378	540	392	303	367	412
BNIP2_sg1	BNIP2	744	844	461	983	725	628	803	654
BNIP2_sg2	BNIP2	805	678	541	657	430	615	261	526
BNIP2_sg3	BNIP2	762	615	1148	627	816	759	450	635
BNIP2_sg4	BNIP2	912	738	799	729	1043	499	831	774
BOK_sg1	BOK	379	562	412	349	488	638	548	476
BOK_sg2	BOK	630	552	447	647	617	663	505	501
BOK_sg3	BOK	419	454	460	330	445	420	396	636
BOK_sg4	BOK	491	350	546	500	546	483	278	379
BOP1_sg1	BOP1	913	1274	967	1227	1105	1008	1223	551
BOP1_sg2	BOP1	697	564	449	888	1064	758	856	516
BOP1_sg3	BOP1	493	735	904	968	739	493	426	744
BOP1_sg4	BOP1	543	845	679	657	851	685	574	775
BORA_sg1	BORA	329	406	355	394	239	411	539	502
BORA_sg2	BORA	408	449	498	494	311	423	352	398
BORA_sg3	BORA	457	729	397	467	572	496	534	612
BORA_sg4	BORA	601	555	444	420	306	639	709	546
BRAP_sg1	BRAP	1159	926	1090	754	1142	816	863	1785
BRAP_sg2	BRAP	1256	1125	985	1087	915	1572	991	1291
BRAP_sg3	BRAP	1280	1217	909	1006	1416	1894	1144	1318
BRAP_sg4	BRAP	836	1298	1214	1112	863	688	569	978
BRCA1_sg1	BRCA1	253	324	244	183	89	77	52	51
BRCA1_sg2	BRCA1	286	238	482	219	105	47	44	62
BRCA1_sg3	BRCA1	222	245	222	274	82	75	65	58
BRCA1_sg4	BRCA1	406	430	284	479	159	117	94	61
BRCA2_sg1	BRCA2	419	490	545	461	130	103	33	48
BRCA2_sg2	BRCA2	280	437	421	312	65	98	37	43
BRCA2_sg3	BRCA2	698	505	310	429	86	83	62	57
BRCA2_sg4	BRCA2	390	469	583	360	119	151	74	55
BRCC3_sg1	BRCC3	1835	1351	1123	1054	1096	1098	739	1416
BRCC3_sg2	BRCC3	1016	934	968	854	1620	1208	1283	1053
BRCC3_sg3	BRCC3	896	985	1265	842	758	1239	1265	1417
BRCC3_sg4	BRCC3	1210	846	1270	2018	982	1273	771	1187
BRD1_sg1	BRD1	839	1048	886	688	627	831	637	866
BRD1_sg2	BRD1	1021	1040	1447	764	1038	846	672	953
BRD1_sg3	BRD1	999	570	1085	1114	523	855	543	654
BRD1_sg4	BRD1	1231	681	703	908	730	928	758	488
BRD4_sg1	BRD4	438	432	333	394	418	358	387	343
